player,nationality,position,age,club,league,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Marcos Vinicios Sorriso,BRA,"FW,DF",21,Red Bull Bragantino,Brazilian League,10.4,637.0,7.0,67.0,232.0,349.0,35.0,637.0,43.0,18.0,41.9,18.0,41.9,362.0,2392.0,1159.0,40.0,30.0,7.0,40.0,25.0,415.0,128.0
Lucão,BRA,GK,21,Red Bull Bragantino,Brazilian League,5.0,159.0,129.0,159.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,87.0,500.0,277.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0
Gustavinho,BRA,"MF,FW",18,Red Bull Bragantino,Brazilian League,7.4,399.0,6.0,48.0,208.0,149.0,12.0,399.0,36.0,24.0,66.7,11.0,30.6,225.0,1162.0,573.0,15.0,10.0,4.0,19.0,18.0,249.0,26.0
Matheus Gonçalves,BRA,"FW,MF",17,Red Bull Bragantino,Brazilian League,5.1,370.0,2.0,33.0,144.0,206.0,26.0,370.0,44.0,22.0,50.0,20.0,45.5,272.0,2146.0,1150.0,33.0,35.0,9.0,23.0,17.0,278.0,36.0
Alerrandro,BRA,"FW,MF",23,Red Bull Bragantino,Brazilian League,4.5,115.0,7.0,9.0,44.0,63.0,19.0,115.0,6.0,3.0,50.0,3.0,50.0,65.0,198.0,81.0,3.0,3.0,1.0,13.0,3.0,81.0,20.0
Lucão,BRA,DF,24,Red Bull Bragantino,Brazilian League,2.2,98.0,8.0,41.0,50.0,7.0,3.0,98.0,1.0,1.0,100.0,0.0,0.0,51.0,256.0,125.0,0.0,1.0,1.0,5.0,0.0,47.0,0.0
Guilherme,BRA,"DF,MF",20,Red Bull Bragantino,Brazilian League,2.9,187.0,7.0,49.0,85.0,54.0,2.0,187.0,2.0,1.0,50.0,1.0,50.0,87.0,486.0,280.0,4.0,6.0,0.0,4.0,3.0,93.0,9.0
Ignacio Laquintana,URU,FW,23,Red Bull Bragantino,Brazilian League,2.0,99.0,0.0,10.0,30.0,61.0,6.0,99.0,5.0,3.0,60.0,2.0,40.0,63.0,306.0,166.0,6.0,7.0,1.0,11.0,0.0,70.0,23.0
Talisson,BRA,FW,20,Red Bull Bragantino,Brazilian League,1.7,72.0,2.0,14.0,15.0,45.0,9.0,72.0,13.0,5.0,38.5,8.0,61.5,46.0,300.0,208.0,9.0,4.0,3.0,5.0,3.0,48.0,11.0
Raul,BRA,"MF,DF",26,Red Bull Bragantino,Brazilian League,1.2,70.0,6.0,17.0,40.0,13.0,0.0,70.0,2.0,0.0,0.0,2.0,100.0,42.0,178.0,58.0,1.0,0.0,0.0,2.0,2.0,44.0,1.0
Yani Quintero,COL,MF,20,Red Bull Bragantino,Brazilian League,1.1,64.0,3.0,16.0,37.0,12.0,0.0,64.0,1.0,1.0,100.0,0.0,0.0,28.0,158.0,88.0,1.0,2.0,0.0,1.0,0.0,38.0,0.0
Cipriano,BRA,DF,20,Red Bull Bragantino,Brazilian League,0.8,44.0,12.0,29.0,15.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,22.0,89.0,22.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
