player,nationality,position,age,club,league,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Dodô,BRA,DF,30,Atlético Mineiro,Brazilian League,0.7,0,1,0.0,0.0,1.53,0.0,0.0,0.0,25.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Alisson,BRA,"MF,DF",17,Atlético Mineiro,Brazilian League,0.5,0,1,0.0,0.0,1.84,0.0,0.0,0.0,33.9,0.0,0,0,0.0,0.0,0.01,0.0,0.0
Isaac,BRA,FW,18,Atlético Mineiro,Brazilian League,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Paulo Vitor,BRA,MF,18,Atlético Mineiro,Brazilian League,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Carlos Eduardo,BRA,"MF,FW",18,Atlético Mineiro,Brazilian League,0.1,0,1,0.0,0.0,7.5,0.0,0.0,0.0,28.8,0.0,0,0,0.0,0.0,0.01,0.0,0.0
Fabrício Bruno,BRA,DF,26,Flamengo,Brazilian League,34.0,0,16,4.0,25.0,0.47,0.12,0.0,0.0,15.2,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7
Léo Pereira,BRA,DF,27,Flamengo,Brazilian League,29.4,3,17,5.0,29.4,0.58,0.17,0.18,0.6,12.1,3.0,0,0,1.8,1.8,0.11,1.2,1.2
Gerson,BRA,MF,25,Flamengo,Brazilian League,29.9,5,31,12.0,38.7,1.04,0.4,0.16,0.42,19.8,0.0,0,0,2.9,2.9,0.1,2.1,2.1
Ayrton Lucas,BRA,DF,25,Flamengo,Brazilian League,28.8,4,26,8.0,30.8,0.9,0.28,0.15,0.5,20.7,0.0,0,0,2.7,2.7,0.1,1.3,1.3
Wesley,BRA,DF,19,Flamengo,Brazilian League,27.9,1,14,5.0,35.7,0.5,0.18,0.07,0.2,17.3,0.0,0,0,1.1,1.1,0.08,-0.1,-0.1
Pedro,BRA,FW,25,Flamengo,Brazilian League,23.9,13,59,25.0,42.4,2.47,1.05,0.15,0.36,16.2,0.0,4,4,11.1,7.9,0.13,1.9,1.1
Thiago Maia,BRA,MF,25,Flamengo,Brazilian League,23.3,0,5,0.0,0.0,0.21,0.0,0.0,0.0,25.0,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Erick Pulgar,CHI,MF,29,Flamengo,Brazilian League,22.2,2,18,5.0,27.8,0.81,0.23,0.11,0.4,22.4,4.0,0,0,0.9,0.9,0.05,1.1,1.1
Giorgian De Arrascaeta,URU,"MF,FW",28,Flamengo,Brazilian League,20.5,7,54,16.0,29.6,2.64,0.78,0.13,0.44,19.1,4.0,0,0,4.9,4.9,0.09,2.1,2.1
Everton Soares,BRA,"FW,MF",26,Flamengo,Brazilian League,19.3,4,55,25.0,45.5,2.84,1.29,0.07,0.16,18.8,3.0,0,0,3.3,3.3,0.06,0.7,0.7
Matheus Cunha,BRA,GK,21,Flamengo,Brazilian League,17.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Gabriel Barbosa,BRA,FW,26,Flamengo,Brazilian League,17.1,5,43,14.0,32.6,2.51,0.82,0.02,0.07,18.0,0.0,4,5,9.5,5.6,0.13,-4.5,-4.6
Everton Ribeiro,BRA,"FW,MF",33,Flamengo,Brazilian League,16.4,3,22,9.0,40.9,1.34,0.55,0.14,0.33,21.9,1.0,0,0,1.5,1.5,0.07,1.5,1.5
Agustín Rossi,ARG,GK,27,Flamengo,Brazilian League,15.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Bruno Henrique,BRA,"FW,MF",32,Flamengo,Brazilian League,17.1,2,38,16.0,42.1,2.22,0.93,0.05,0.13,16.2,0.0,0,0,3.8,3.8,0.1,-1.8,-1.8
Victor Hugo,BRA,"MF,FW",18,Flamengo,Brazilian League,14.2,1,15,3.0,20.0,1.06,0.21,0.07,0.33,17.5,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1
David Luiz,BRA,DF,35,Flamengo,Brazilian League,11.0,1,6,3.0,50.0,0.54,0.27,0.17,0.33,22.7,0.0,0,0,0.3,0.3,0.05,0.7,0.7
Luiz Araújo,BRA,"FW,MF",26,Flamengo,Brazilian League,8.7,3,24,8.0,33.3,2.75,0.92,0.13,0.38,17.0,0.0,0,0,1.6,1.6,0.06,1.4,1.4
Matheuzinho,BRA,DF,22,Flamengo,Brazilian League,6.9,0,4,1.0,25.0,0.58,0.15,0.0,0.0,17.9,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Filipe Luís,BRA,DF,37,Flamengo,Brazilian League,5.9,0,2,1.0,50.0,0.34,0.17,0.0,0.0,13.6,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Santos,BRA,GK,32,Flamengo,Brazilian League,5.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Matheus França,BRA,"MF,FW",18,Flamengo,Brazilian League,4.1,1,17,1.0,5.9,4.15,0.24,0.06,1.0,17.1,0.0,0,0,1.3,1.3,0.08,-0.3,-0.3
Allan,BRA,MF,25,Flamengo,Brazilian League,5.4,0,6,2.0,33.3,1.12,0.37,0.0,0.0,29.2,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Pablo,BRA,DF,31,Flamengo,Brazilian League,4.7,0,2,2.0,100.0,0.43,0.43,0.0,0.0,11.5,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Guillermo Varela,URU,DF,29,Flamengo,Brazilian League,2.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Arturo Vidal,CHI,"MF,DF",35,Flamengo,Brazilian League,2.8,0,7,2.0,28.6,2.5,0.71,0.0,0.0,13.7,0.0,0,0,0.8,0.8,0.11,-0.8,-0.8
Marinho,BRA,"FW,DF",32,Flamengo,Brazilian League,0.9,0,4,1.0,25.0,4.39,1.1,0.0,0.0,17.8,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3
Igor,BRA,MF,19,Flamengo,Brazilian League,0.9,0,4,0.0,0.0,4.62,0.0,0.0,0.0,30.1,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3
