player,nationality,position,age,club,league,minutes_90s,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Obite N'Dicka,CIV,DF,24,Roma,Serie A,24.1,6,0,0,26,16,0,11,16,18,0,0,0,100,38,27,58.5
Paulo Dybala,ARG,"FW,MF",30,Roma,Serie A,21.8,3,0,0,12,50,5,88,3,13,0,0,0,83,7,21,25.0
Rui Patrício,POR,GK,36,Roma,Serie A,23.0,1,0,0,1,1,0,0,0,0,0,1,0,12,2,0,100.0
Lorenzo Pellegrini,ITA,MF,27,Roma,Serie A,20.7,7,0,0,26,35,3,76,20,20,1,0,0,97,12,17,41.4
Rasmus Kristensen,DEN,DF,26,Roma,Serie A,19.4,5,0,0,14,8,1,44,8,19,1,0,1,67,30,21,58.8
Stephan El Shaarawy,ITA,"FW,DF",31,Roma,Serie A,19.3,2,0,0,14,28,8,17,13,13,0,0,0,83,9,15,37.5
Edoardo Bove,ITA,MF,22,Roma,Serie A,19.8,2,0,0,31,37,1,8,11,31,0,0,0,95,29,35,45.3
Mile Svilar,SRB,GK,24,Roma,Serie A,15.0,1,0,0,0,4,0,0,0,0,0,0,0,19,5,0,100.0
Leonardo Spinazzola,ITA,DF,31,Roma,Serie A,14.6,0,0,0,8,6,1,84,3,7,0,0,0,74,6,6,50.0
Rick Karsdorp,NED,DF,29,Roma,Serie A,13.2,2,0,0,9,9,0,28,9,18,1,0,0,50,5,2,71.4
Angeliño,ESP,DF,27,Roma,Serie A,12.7,2,0,0,13,10,1,53,12,11,0,0,1,55,15,9,62.5
Nicola Zalewski,POL,"DF,FW",22,Roma,Serie A,10.8,3,1,1,14,27,1,38,9,14,0,0,0,47,10,8,55.6
Houssem Aouar,ALG,"MF,FW",25,Roma,Serie A,8.4,3,0,0,10,11,3,10,4,11,0,0,0,39,10,11,47.6
Andrea Belotti,ITA,FW,30,Roma,Serie A,7.5,1,0,0,14,25,8,4,2,4,0,0,0,15,14,22,38.9
Zeki Çelik,TUR,DF,27,Roma,Serie A,7.5,1,0,0,14,3,0,20,8,16,0,0,0,33,3,7,30.0
Tommaso Baldanzi,ITA,"FW,MF",21,Roma,Serie A,5.8,2,0,0,7,14,1,7,0,5,0,0,0,20,0,2,0.0
Dean Huijsen,ESP,DF,19,Roma,Serie A,5.7,4,0,0,10,2,0,1,4,5,1,0,1,24,9,7,56.3
Chris Smalling,ENG,DF,34,Roma,Serie A,4.3,0,0,0,1,3,0,0,5,1,0,0,0,22,22,7,75.9
Sardar Azmoun,IRN,"FW,MF",29,Roma,Serie A,6.5,4,0,0,8,11,2,2,3,5,2,0,0,19,13,15,46.4
Tammy Abraham,ENG,FW,26,Roma,Serie A,2.7,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5
Renato Sanches,POR,MF,26,Roma,Serie A,1.6,2,0,0,6,3,0,4,0,1,0,1,0,5,1,2,33.3
Riccardo Pagano,ITA,"MF,DF",19,Roma,Serie A,0.6,0,0,0,3,0,0,1,0,2,0,0,0,3,0,1,0.0
Ola Solbakken,NOR,FW,25,Roma,Serie A,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.0
João Costa,BRA,"MF,FW",19,Roma,Serie A,0.2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.0
Niccolò Pisilli,ITA,MF,19,Roma,Serie A,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Adam Marušić,MNE,DF,31,Lazio,Serie A,34.4,3,1,0,24,10,4,44,29,31,0,1,0,154,32,33,49.2
Felipe Anderson,BRA,"FW,MF",31,Lazio,Serie A,30.8,3,0,0,30,36,4,57,27,45,0,0,0,139,15,16,48.4
