player,nationality,position,age,club,league,minutes_90s,passes,passes_live,passes_dead,passes_fk,through_balls,passes_switches,crosses,throw_ins,CK,CK_in,CK_out,CK_s,passes_completed,passes_offside,passes_blocked
Jason Pendant,FRA,DF,26,Quevilly-Rouen,Ligue 2,27.5,1423,1130,287,14,1,6,68,268,5,0,0,0,1091,6,29
Jasper Löffelsend,GER,MF,25,RSL,MLS,12.6,691,665,24,12,1,10,13,7,1,0,0,0,570,2,15
Jasper van der Werff,SUI,DF,24,Hansa Rostock,2. Bundesliga,19.0,893,830,59,24,0,4,4,33,0,0,0,0,768,4,8
Jaume Grau,ESP,MF,27,Zaragoza,Segunda Division,20.4,780,768,6,6,2,5,10,0,0,0,0,0,614,6,14
Javain Brown,JAM,DF,23,Vancouver W'caps,MLS,19.6,1100,932,167,23,0,4,49,144,0,0,0,0,843,1,16
Javairô Dilrosun,NED,"FW,MF",25,América,Liga MX,6.8,237,226,8,2,2,4,23,5,1,0,0,0,166,3,7
Javi Lara,ESP,"MF,FW",38,Alcorcón,Segunda Division,16.1,846,737,107,44,0,39,78,4,43,12,21,0,636,2,14
Javi López,ESP,MF,23,Burgos,Segunda Division,0.6,21,21,0,0,0,0,1,0,0,0,0,0,16,0,0
Javi Martínez,ESP,MF,24,Huesca,Segunda Division,31.4,1126,1072,46,17,5,13,40,8,2,0,2,0,834,8,22
Javi Martón,ESP,FW,25,CD Mirandés,Segunda Division,13.5,186,179,6,0,1,1,4,0,0,0,0,0,120,1,4
Javi Pamies,ESP,"DF,MF",21,Elche,Segunda Division,0.1,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0
Javi Puado,ESP,"MF,FW",26,Espanyol,Segunda Division,31.1,788,759,24,3,7,6,34,9,3,0,0,0,617,5,16
